P00846	MT-ATP6
P01019	AGT
P01106	MYC
P01137	TGFB1
P01563	IFNA2
P01593	IGKV1D-33
P01594	IGKV1-33
P01597	IGKV1-39
P01599	IGKV1-17
P01601	IGKV1D-16
P01602	IGKV1-5
P01611	IGKV1D-12
P01614	IGKV2D-40
P01615	IGKV2D-28
P01619	IGKV3-20
P01624	IGKV3-15
P01699	IGLV1-44
P01700	IGLV1-47
P01701	IGLV1-51
P01703	IGLV1-40
P01704	IGLV2-14
P01705	IGLV2-23
P01706	IGLV2-11
P01709	IGLV2-8
P01714	IGLV3-19
P01715	IGLV3-1
P01717	IGLV3-25
P01718	IGLV3-27
P01721	IGLV6-57
P01733	TRBV12-3
P01737	TRAV8-4
P01742	IGHV1-69
P01743	IGHV1-46
P01762	IGHV3-11
P01763	IGHV3-48
P01764	IGHV3-23
P01766	IGHV3-13
P01767	IGHV3-53
P01768	IGHV3-30
P01772	IGHV3-33
P01780	IGHV3-7
P01782	IGHV3-9
P01814	IGHV2-70
P01817	IGHV2-5
P01824	IGHV4-39
P01825	IGHV4-59
P01834	IGKC
P01848	TRAC
P01850	TRBC1
P01854	IGHE
P01857	IGHG1
P01859	IGHG2
P01860	IGHG3
P01861	IGHG4
P01871	IGHM
P01876	IGHA1
P01877	IGHA2
P01880	IGHD
P01893	HLA-H
P01903	HLA-DRA
P01909	HLA-DQA1
P01920	HLA-DQB1
P02452	COL1A1
P02724	GYPA
P02763	ORM1
P02810	PRH1
P02812	PRB2
P03886	MT-ND1
P03891	MT-ND2
P03897	MT-ND3
P03901	MT-ND4L
P03905	MT-ND4
P03915	MT-ND5
P03923	MT-ND6
P03928	MT-ATP8
P03952	KLKB1
P03979	TRGV3
P03986	TRGC2
P03999	OPN1SW
P04000	OPN1LW
P04114	APOB
P04211	IGLV7-43
P04280	PRB1
P04430	IGKV1-16
P04432	IGKV1D-39
P04433	IGKV3-11
P04435	TRBV7-9
P04437	TRAV29DV5
P05107	ITGB2
P05538	HLA-DQB2
P05549	TFAP2A
P06310	IGKV2-30
P06312	IGKV4-1
P06315	IGKV5-2
P06331	IGHV4-34
P06731	CEACAM5
P07307	ASGR2
P07358	C8B
P07686	HEXB
P08519	LPA
P08588	ADRB1
P08603	CFH
